id,Suhu Udara (u00b0C),Tekanan udara (hpa),Ketinggian alat (m),Cahaya (lux),Kualitas Udara (ppm),Kelembapan (%),Cuaca
19,25.86,988.98,187,287,16,47.69,Kering
20,25.92,988.93,187,305,16,48.00,Basah
